,Instance,Height,Time,Run
0,1.0,8.0,0.0,0.0
1,1.0,8.0,0.0,1.0
2,1.0,8.0,0.0,2.0
3,1.0,8.0,0.0,3.0
4,1.0,8.0,0.0,4.0
5,1.0,,0.0,
6,2.0,9.0,0.0,0.0
7,2.0,9.0,0.0,1.0
8,2.0,9.0,0.0,2.0
9,2.0,9.0,0.001,3.0
10,2.0,9.0,0.0,4.0
11,2.0,,0.0002,
12,3.0,10.0,0.0,0.0
13,3.0,10.0,0.001,1.0
14,3.0,10.0,0.0,2.0
15,3.0,10.0,0.0,3.0
16,3.0,10.0,0.0,4.0
17,3.0,,0.0002,
18,4.0,11.0,0.001,0.0
19,4.0,11.0,0.001,1.0
20,4.0,11.0,0.001,2.0
21,4.0,11.0,0.001,3.0
22,4.0,11.0,0.001,4.0
23,4.0,,0.001,
24,5.0,12.0,0.001,0.0
25,5.0,12.0,0.002,1.0
26,5.0,12.0,0.001,2.0
27,5.0,12.0,0.001,3.0
28,5.0,12.0,0.001,4.0
29,5.0,,0.0012,
30,6.0,13.0,0.002,0.0
31,6.0,13.0,0.003,1.0
32,6.0,13.0,0.002,2.0
33,6.0,13.0,0.002,3.0
34,6.0,13.0,0.002,4.0
35,6.0,,0.0022,
36,7.0,14.0,0.002,0.0
37,7.0,14.0,0.002,1.0
38,7.0,14.0,0.002,2.0
39,7.0,14.0,0.002,3.0
40,7.0,14.0,0.002,4.0
41,7.0,,0.002,
42,8.0,15.0,0.003,0.0
43,8.0,15.0,0.004,1.0
44,8.0,15.0,0.009,2.0
45,8.0,15.0,0.004,3.0
46,8.0,15.0,0.005,4.0
47,8.0,,0.005,
48,9.0,16.0,0.006,0.0
49,9.0,16.0,0.007,1.0
50,9.0,16.0,0.006,2.0
51,9.0,16.0,0.007,3.0
52,9.0,16.0,0.007,4.0
53,9.0,,0.0066,
54,10.0,17.0,0.004,0.0
55,10.0,17.0,0.004,1.0
56,10.0,17.0,0.004,2.0
57,10.0,17.0,0.004,3.0
58,10.0,17.0,0.004,4.0
59,10.0,,0.004,
60,11.0,19.0,299.73,0.0
61,11.0,,299.73,
62,12.0,0.0,300.0,0.0
63,12.0,,300.0,
64,13.0,22.0,299.69,0.0
65,13.0,,299.69,
66,14.0,22.0,299.685,0.0
67,14.0,,299.685,
68,11.0,0.0,300.0,0.0
69,11.0,,300.0,
