;Instance;Height;Time;Run
0;1.0;8.0;0.001;0.0
1;1.0;8.0;0.0;1.0
2;1.0;8.0;0.001;2.0
3;1.0;8.0;0.0;3.0
4;1.0;8.0;0.0;4.0
5;1.0;;0.0004;
6;2.0;9.0;0.001;0.0
7;2.0;9.0;0.001;1.0
8;2.0;9.0;0.001;2.0
9;2.0;9.0;0.001;3.0
10;2.0;9.0;0.001;4.0
11;2.0;;0.001;
12;3.0;10.0;0.001;0.0
13;3.0;10.0;0.0;1.0
14;3.0;10.0;0.001;2.0
15;3.0;10.0;0.001;3.0
16;3.0;10.0;0.001;4.0
17;3.0;;0.0008;
18;4.0;11.0;0.003;0.0
19;4.0;11.0;0.001;1.0
20;4.0;11.0;0.001;2.0
21;4.0;11.0;0.001;3.0
22;4.0;11.0;0.001;4.0
23;4.0;;0.0014;
24;5.0;12.0;0.0;0.0
25;5.0;12.0;0.001;1.0
26;5.0;12.0;0.001;2.0
27;5.0;12.0;0.001;3.0
28;5.0;12.0;0.001;4.0
29;5.0;;0.0008;
30;6.0;13.0;0.001;0.0
31;6.0;13.0;0.002;1.0
32;6.0;13.0;0.002;2.0
33;6.0;13.0;0.002;3.0
34;6.0;13.0;0.002;4.0
35;6.0;;0.0018000000000000002;
36;7.0;14.0;0.001;0.0
37;7.0;14.0;0.002;1.0
38;7.0;14.0;0.002;2.0
39;7.0;14.0;0.002;3.0
40;7.0;14.0;0.002;4.0
41;7.0;;0.0018000000000000002;
42;8.0;15.0;0.001;0.0
43;8.0;15.0;0.001;1.0
44;8.0;15.0;0.002;2.0
45;8.0;15.0;0.002;3.0
46;8.0;15.0;0.002;4.0
47;8.0;;0.0016;
48;9.0;16.0;0.003;0.0
49;9.0;16.0;0.002;1.0
50;9.0;16.0;0.003;2.0
51;9.0;16.0;0.003;3.0
52;9.0;16.0;0.003;4.0
53;9.0;;0.0027999999999999995;
54;10.0;17.0;0.031;0.0
55;10.0;17.0;0.029;1.0
56;10.0;17.0;0.028;2.0
57;10.0;17.0;0.028;3.0
58;10.0;17.0;0.03;4.0
59;10.0;;0.029199999999999997;
60;11.0;19.0;299.66;0.0
61;11.0;;299.66;
62;12.0;19.0;0.932;0.0
63;12.0;19.0;0.851;1.0
64;12.0;19.0;1.605;2.0
65;12.0;19.0;1.604;3.0
66;12.0;19.0;1.237;4.0
67;12.0;;1.2458;
68;13.0;20.0;0.014;0.0
69;13.0;20.0;0.013;1.0
70;13.0;20.0;0.012;2.0
71;13.0;20.0;0.013;3.0
72;13.0;20.0;0.013;4.0
73;13.0;;0.013000000000000001;
74;14.0;21.0;0.191;0.0
75;14.0;21.0;0.186;1.0
76;14.0;21.0;0.185;2.0
77;14.0;21.0;0.195;3.0
78;14.0;21.0;0.192;4.0
79;14.0;;0.18980000000000002;
80;15.0;22.0;0.007;0.0
81;15.0;22.0;0.007;1.0
82;15.0;22.0;0.007;2.0
83;15.0;22.0;0.007;3.0
84;15.0;22.0;0.009;4.0
85;15.0;;0.0073999999999999995;
86;16.0;23.0;90.776;0.0
87;16.0;23.0;79.567;1.0
88;16.0;23.0;79.665;2.0
89;16.0;23.0;83.758;3.0
90;16.0;23.0;79.846;4.0
91;16.0;;82.7224;
92;17.0;24.0;4.429;0.0
93;17.0;24.0;5.741;1.0
94;17.0;24.0;5.58;2.0
95;17.0;24.0;4.449;3.0
96;17.0;24.0;5.798;4.0
97;17.0;;5.1994;
98;18.0;25.0;0.568;0.0
99;18.0;25.0;0.557;1.0
100;18.0;25.0;0.619;2.0
101;18.0;25.0;0.606;3.0
102;18.0;25.0;0.612;4.0
103;18.0;;0.5924;
104;19.0;27.0;299.678;0.0
105;19.0;;299.678;
106;20.0;28.0;299.655;0.0
107;20.0;;299.655;
108;21.0;29.0;299.705;0.0
109;21.0;;299.705;
110;22.0;30.0;299.721;0.0
111;22.0;;299.721;
112;23.0;31.0;299.502;0.0
113;23.0;;299.502;
114;24.0;32.0;299.702;0.0
115;24.0;;299.702;
116;25.0;33.0;299.714;0.0
117;25.0;;299.714;
118;26.0;35.0;299.669;0.0
119;26.0;;299.669;
120;27.0;35.0;299.655;0.0
121;27.0;;299.655;
122;28.0;36.0;299.732;0.0
123;28.0;;299.732;
124;29.0;37.0;299.714;0.0
125;29.0;;299.714;
126;30.0;71.0;299.713;0.0
127;30.0;;299.713;
128;31.0;58.0;299.701;0.0
129;31.0;;299.701;
130;32.0;0.0;300.0;0.0
131;32.0;;300.0;
132;33.0;41.0;299.721;0.0
133;33.0;;299.721;
134;34.0;0.0;300.0;0.0
135;34.0;;300.0;
136;35.0;0.0;300.0;0.0
137;35.0;;300.0;
138;36.0;0.0;300.0;0.0
139;36.0;;300.0;
140;37.0;66.0;299.726;0.0
141;37.0;;299.726;
142;38.0;62.0;299.719;0.0
143;38.0;;299.719;
144;39.0;63.0;299.655;0.0
145;39.0;;299.655;
146;40.0;0.0;300.0;0.0
147;40.0;;300.0;
